Date	Price	Open	High	Low	Vol.	Change %
11-04-15	4.1295	4.1339	4.1437	4.089		-0.16%
11-03-15	4.1361	4.2391	4.2702	4.0994		-2.51%
11-02-15	4.2425	4.2498	4.2632	4.2358		-0.04%
10/30/2015	4.2441	4.2247	4.2848	4.2063		0.40%
10/29/2015	4.227	4.2686	4.3348	4.217		-0.99%
10/28/2015	4.2692	4.2949	4.3261	4.2614		-0.62%
10/27/2015	4.2959	4.3164	4.3494	4.2881		-0.53%
10/26/2015	4.3186	4.2697	4.3345	4.2153		1.01%
10/23/2015	4.2756	4.3398	4.3531	4.2638		-1.51%
10/22/2015	4.3413	4.4663	4.4872	4.3365		-2.86%
10/21/2015	4.4692	4.4303	4.5023	4.4241		0.80%
10/20/2015	4.4336	4.3985	4.4436	4.372		0.75%
10/19/2015	4.4004	4.4521	4.4679	4.3726		-1.18%
10/16/2015	4.453	4.3283	4.4911	4.3015		2.98%
10/15/2015	4.324	4.3732	4.4118	4.3075		-1.13%
10/14/2015	4.3736	4.4278	4.4457	4.3687		-1.30%
10/13/2015	4.4314	4.2722	4.4418	4.2625		3.68%
10-12-15	4.2741	4.2739	4.2873	4.2685		-0.08%
10-09-15	4.2774	4.2667	4.3064	4.2276		0.22%
10-08-15	4.2679	4.3646	4.4079	4.2578		-2.20%
10-07-15	4.3637	4.3421	4.3781	4.2516		0.46%
10-06-15	4.3439	4.3769	4.4262	4.3106		-0.74%
10-05-15	4.3764	4.4111	4.4434	4.3508		-0.70%
10-02-15	4.4074	4.4879	4.5712	4.405		-1.83%
10-01-15	4.4896	4.4152	4.5036	4.391		1.71%
09/30/2015	4.414	4.5676	4.574	4.3823		-3.43%
09/29/2015	4.5709	4.6173	4.6661	4.508		-1.06%
09/28/2015	4.62	4.4511	4.628	4.4357		3.75%
09/25/2015	4.4528	4.4193	4.4813	4.327		0.72%
09/24/2015	4.421	4.6733	4.784	4.4193		-5.41%
09/23/2015	4.6737	4.5009	4.6751	4.4751		3.80%
09/22/2015	4.5024	4.4562	4.526	4.4405		0.96%
09/21/2015	4.4598	4.4514	4.4817	4.4207		-0.03%
09/18/2015	4.461	4.4569	4.4751	4.4107		0.04%
09/17/2015	4.459	4.3231	4.4629	4.3204		3.16%
09/16/2015	4.3226	4.3521	4.3648	4.3096		-0.69%
09/15/2015	4.3527	4.3147	4.377	4.3011		0.78%
09/14/2015	4.3189	4.3878	4.4082	4.3055		-1.60%
09-11-15	4.389	4.341	4.4077	4.3061		1.07%
09-10-15	4.3424	4.2324	4.3851	4.2213		2.57%
09-09-15	4.2336	4.2766	4.2846	4.1944		-1.04%
09-08-15	4.2782	4.2858	4.3086	4.2166		-0.20%
09-07-15	4.2869	4.2874	4.295	4.2715		0.04%
09-04-15	4.2852	4.1574	4.3018	4.1539		3.06%
09-03-15	4.158	4.223	4.2776	4.1518		-1.56%
09-02-15	4.2237	4.1824	4.2405	4.1524		0.95%
09-01-15	4.1841	4.0575	4.1899	4.0552		3.09%
08/31/2015	4.0587	4.0008	4.1406	3.9958		1.34%
08/28/2015	4.0049	3.9919	4.0347	3.9884		0.29%
08/27/2015	3.9932	4.068	4.0845	3.9654		-1.87%
08/26/2015	4.0692	4.1646	4.1811	4.0566		-2.34%
08/25/2015	4.1665	4.1265	4.1688	4.0268		0.92%
08/24/2015	4.1287	3.9748	4.1886	3.9748		3.55%
08/21/2015	3.9871	3.8851	3.9916	3.8833		2.60%
08/20/2015	3.8862	3.8821	3.9384	3.8601		0.05%
08/19/2015	3.8843	3.8215	3.8898	3.8168		1.62%
08/18/2015	3.8222	3.8528	3.8691	3.8093		-0.86%
08/17/2015	3.8555	3.8693	3.8956	3.8309		-0.35%
08/14/2015	3.8692	3.922	3.9404	3.8442		-1.39%
